"","feature","frequency","rank","docfreq","group"
"1","pesquisa",762,1,228,"all"
"2","neuromat",618,2,230,"all"
"3","sonhos",600,3,51,"all"
"4","sobre",518,4,192,"all"
"5","cerebro",453,5,143,"all"
"6","centro",439,6,224,"all"
"7","ser",439,6,158,"all"
"8","usp",422,8,202,"all"
"9","estudo",408,9,116,"all"
"10","universidade",397,10,183,"all"
"11","pesquisadores",393,11,154,"all"
"12","difusao",376,12,217,"all"
"13","relatos",364,13,52,"all"
"14","inovacao",363,14,218,"all"
"15","meio",321,15,106,"all"
"16","sono",285,16,47,"all"
"17","paulo",284,17,187,"all"
"18","doenca",281,18,74,"all"
"19","fapesp",276,19,160,"all"
"20","matematica",274,20,122,"all"
"21","wikipedia",272,21,35,"all"
"22","rede",269,22,99,"all"
"23","mota",257,23,46,"all"
"24","pode",256,24,133,"all"
"25","forma",254,25,135,"all"
"26","pessoas",247,26,89,"all"
"27","durante",242,27,125,"all"
"28","rem",241,28,17,"all"
"29","primeiro",237,29,104,"all"
"30","voluntarios",233,30,74,"all"
"31","neuromatematica",231,31,212,"all"
"32","estudos",229,32,104,"all"
"33","cepid",228,33,173,"all"
"34","alem",226,34,123,"all"
"35","grupo",225,35,81,"all"
"36","neurociencia",222,36,120,"all"
"37","ribeiro",220,37,58,"all"
"38","maior",214,38,94,"all"
"39","brasil",212,39,101,"all"
"40","conteudo",207,40,72,"all"
"41","modelo",206,41,83,"all"
"42","trabalho",203,42,103,"all"
"43","palavras",202,43,62,"all"
"44","ainda",200,44,109,"all"
"45","saude",200,44,58,"all"
"46","instituto",196,46,133,"all"
"47","galves",191,47,51,"all"
"48","grande",187,48,109,"all"
"49","ciencia",185,49,87,"all"
"50","anos",179,50,89,"all"
"51","discurso",179,50,37,"all"
"52","podem",178,52,108,"all"
"53","resultados",177,53,107,"all"
"54","professor",175,54,70,"all"
"55","diz",173,55,64,"all"
"56","evento",171,56,59,"all"
"57","partir",171,56,109,"all"
"58","pesquisador",170,58,89,"all"
"59","analise",168,59,69,"all"
"60","parkinson",168,59,42,"all"
"61","sonho",166,61,45,"all"
"62","exemplo",163,62,100,"all"
"63","pandemia",159,63,42,"all"
"64","estatistica",157,64,87,"all"
"65","conta",157,64,88,"all"
"66","termos",157,64,53,"all"
"67","outros",151,67,97,"all"
"68","explica",150,68,83,"all"
"69","vai",149,69,87,"all"
"70","fazer",149,69,107,"all"
"71","vida",149,69,70,"all"
"72","cientifica",149,69,77,"all"
"73","federal",146,73,92,"all"
"74","diferentes",145,74,85,"all"
"75","area",144,75,90,"all"
"76","projeto",144,75,88,"all"
"77","segundo",144,75,93,"all"
"78","mes",142,78,35,"all"
"79","estrutura",140,79,59,"all"
"80","relato",139,80,34,"all"
"81","dia",138,81,84,"all"
"82","ferramenta",138,81,59,"all"
"83","dados",136,83,102,"all"
"84","informacoes",135,84,83,"all"
"85","conhecimento",134,85,81,"all"
"86","pacientes",132,86,50,"all"
"87","qualidade",129,87,75,"all"
"88","maneira",128,88,83,"all"
"89","grafos",127,89,27,"all"
"90","esquizofrenia",127,89,38,"all"
"91","mundo",125,91,91,"all"
"92","apenas",124,92,78,"all"
"93","objetivo",122,93,104,"all"
"94","pesquisadora",121,94,62,"all"
"95","artigo",121,94,83,"all"
"96","social",119,96,68,"all"
"97","sociais",119,96,64,"all"
"98","cada",119,96,57,"all"
"99","limpeza",119,96,25,"all"
"100","outras",118,100,80,"all"
"101","afirma",116,101,65,"all"
"102","antonio",114,102,66,"all"
"103","plataforma",114,102,54,"all"
"104","ufrn",113,104,56,"all"
"105","ferramentas",113,104,61,"all"
"106","tempo",112,106,61,"all"
"107","geral",110,107,65,"all"
"108","primeira",109,108,94,"all"
"109","desde",109,108,83,"all"
"110","pesquisas",107,110,69,"all"
"111","amparo",106,111,75,"all"
"112","estado",106,111,77,"all"
"113","vez",105,113,81,"all"
"114","cientifico",104,114,64,"all"
"115","assim",104,114,59,"all"
"116","quanto",103,116,74,"all"
"117","temas",102,117,72,"all"
"118","criancas",102,117,33,"all"
"119","n",102,117,17,"all"
"120","publico",101,120,64,"all"
"121","apoio",101,120,80,"all"
