termo,data_mes,views
eeg,2015-07-01,4269
eeg,2015-08-01,3929
eeg,2015-09-01,3772
eeg,2015-10-01,3243
eeg,2015-11-01,3132
eeg,2015-12-01,2527
eeg,2016-01-01,3030
eeg,2016-02-01,3449
eeg,2016-03-01,4636
eeg,2016-04-01,4855
eeg,2016-05-01,4609
eeg,2016-06-01,3940
eeg,2016-07-01,3132
eeg,2016-08-01,3189
eeg,2016-09-01,3111
eeg,2016-10-01,3422
eeg,2016-11-01,3389
eeg,2016-12-01,2689
eeg,2017-01-01,3187
eeg,2017-02-01,3159
eeg,2017-03-01,4367
eeg,2017-04-01,3404
eeg,2017-05-01,4317
eeg,2017-06-01,3669
eeg,2017-07-01,3094
eeg,2017-08-01,3366
eeg,2017-09-01,4059
eeg,2017-10-01,4086
eeg,2017-11-01,4011
eeg,2017-12-01,2721
eeg,2018-01-01,2983
eeg,2018-02-01,3162
eeg,2018-03-01,3944
eeg,2018-04-01,3715
eeg,2018-05-01,4469
eeg,2018-06-01,3601
eeg,2018-07-01,3010
eeg,2018-08-01,3349
eeg,2018-09-01,3485
eeg,2018-10-01,4817
eeg,2018-11-01,4484
eeg,2018-12-01,3590
eeg,2019-01-01,4144
eeg,2019-02-01,3591
eeg,2019-03-01,4016
eeg,2019-04-01,4348
eeg,2019-05-01,4858
eeg,2019-06-01,4338
eeg,2019-07-01,4049
eeg,2019-08-01,4133
eeg,2019-09-01,3986
eeg,2019-10-01,4520
eeg,2019-11-01,4526
eeg,2019-12-01,3167
eeg,2020-01-01,2907
eeg,2020-02-01,2579
eeg,2020-03-01,2919
eeg,2020-04-01,2556
eeg,2020-05-01,2909
eeg,2020-06-01,2544
eeg,2020-07-01,2331
eeg,2020-08-01,2163
eeg,2020-09-01,2154
eeg,2020-10-01,2608
eeg,2020-11-01,2601
eeg,2020-12-01,1719
eeg,2021-01-01,1734
eeg,2021-02-01,1464
eeg,2021-03-01,1858
eeg,2021-04-01,1946
eeg,2021-05-01,1698
eeg,2021-06-01,1473
eeg,2021-07-01,1495
eeg,2021-08-01,1242
eeg,2021-09-01,1234
eeg,2021-10-01,1561
eeg,2021-11-01,1843
eeg,2021-12-01,1390
eeg,2022-01-01,1442
eeg,2022-02-01,1237
eeg,2022-03-01,1625
eeg,2022-04-01,1522
eeg,2022-05-01,1452
eeg,2022-06-01,1345
eeg,2022-07-01,1102
eeg,2022-08-01,1485
eeg,2022-09-01,1391
eeg,2022-10-01,1516
eeg,2022-11-01,1494
eeg,2022-12-01,1176
eeg,2023-01-01,1461
eeg,2023-02-01,1258
eeg,2023-03-01,1578
eeg,2023-04-01,1632
eeg,2023-05-01,1990
eeg,2023-06-01,1790
eeg,2023-07-01,1650
eeg,2023-08-01,1755
eeg,2023-09-01,1527
eeg,2023-10-01,1622
eeg,2023-11-01,1534
eeg,2023-12-01,1295
eeg,2024-01-01,1845
eeg,2024-02-01,1644
eeg,2024-03-01,2130
eeg,2024-04-01,2007
eeg,2024-05-01,3382
eeg,2024-06-01,3520
eeg,2024-07-01,3488
eeg,2024-08-01,2717
eeg,2024-09-01,2488
eeg,2024-10-01,2851
eeg,2024-11-01,2406
eeg,2024-12-01,2511
eeg,2025-01-01,3685
eeg,2025-02-01,1607
eeg,2025-03-01,1672
eeg,2025-04-01,1029
eeg,2025-05-01,1258
eeg,2025-06-01,798
eeg,2025-07-01,857
estocastica,2015-07-01,1396
estocastica,2015-08-01,1515
estocastica,2015-09-01,1583
estocastica,2015-10-01,1636
estocastica,2015-11-01,1815
estocastica,2015-12-01,1202
estocastica,2016-01-01,1403
estocastica,2016-02-01,1447
estocastica,2016-03-01,1902
estocastica,2016-04-01,2185
estocastica,2016-05-01,2048
estocastica,2016-06-01,2293
estocastica,2016-07-01,1859
estocastica,2016-08-01,2362
estocastica,2016-09-01,2397
estocastica,2016-10-01,2446
estocastica,2016-11-01,2346
estocastica,2016-12-01,1760
estocastica,2017-01-01,1620
estocastica,2017-02-01,1762
estocastica,2017-03-01,2618
estocastica,2017-04-01,2274
estocastica,2017-05-01,2534
estocastica,2017-06-01,2601
estocastica,2017-07-01,2160
estocastica,2017-08-01,2562
estocastica,2017-09-01,2474
estocastica,2017-10-01,2885
estocastica,2017-11-01,2330
estocastica,2017-12-01,1651
estocastica,2018-01-01,1946
estocastica,2018-02-01,1845
estocastica,2018-03-01,3001
estocastica,2018-04-01,2575
estocastica,2018-05-01,2952
estocastica,2018-06-01,2971
estocastica,2018-07-01,2212
estocastica,2018-08-01,2526
estocastica,2018-09-01,2361
estocastica,2018-10-01,2177
estocastica,2018-11-01,2554
estocastica,2018-12-01,1980
estocastica,2019-01-01,1649
estocastica,2019-02-01,1959
estocastica,2019-03-01,2681
estocastica,2019-04-01,2724
estocastica,2019-05-01,2722
estocastica,2019-06-01,2667
estocastica,2019-07-01,2189
estocastica,2019-08-01,2631
estocastica,2019-09-01,2753
estocastica,2019-10-01,2730
estocastica,2019-11-01,3049
estocastica,2019-12-01,2140
estocastica,2020-01-01,2123
estocastica,2020-02-01,2197
estocastica,2020-03-01,2972
estocastica,2020-04-01,3215
estocastica,2020-05-01,2775
estocastica,2020-06-01,3027
estocastica,2020-07-01,2387
estocastica,2020-08-01,2310
estocastica,2020-09-01,2739
estocastica,2020-10-01,3135
estocastica,2020-11-01,2638
estocastica,2020-12-01,2169
estocastica,2021-01-01,1846
estocastica,2021-02-01,1936
estocastica,2021-03-01,2901
estocastica,2021-04-01,2392
estocastica,2021-05-01,2066
estocastica,2021-06-01,1865
estocastica,2021-07-01,1974
estocastica,2021-08-01,1847
estocastica,2021-09-01,1722
estocastica,2021-10-01,1835
estocastica,2021-11-01,1802
estocastica,2021-12-01,1316
estocastica,2022-01-01,1331
estocastica,2022-02-01,1341
estocastica,2022-03-01,1964
estocastica,2022-04-01,1485
estocastica,2022-05-01,1583
estocastica,2022-06-01,1527
estocastica,2022-07-01,1276
estocastica,2022-08-01,1756
estocastica,2022-09-01,1523
estocastica,2022-10-01,1806
estocastica,2022-11-01,1688
estocastica,2022-12-01,1234
estocastica,2023-01-01,1114
estocastica,2023-02-01,1076
estocastica,2023-03-01,1212
estocastica,2023-04-01,1117
estocastica,2023-05-01,1353
estocastica,2023-06-01,1255
estocastica,2023-07-01,1110
estocastica,2023-08-01,1167
estocastica,2023-09-01,1195
estocastica,2023-10-01,1096
estocastica,2023-11-01,1183
estocastica,2023-12-01,988
estocastica,2024-01-01,1105
estocastica,2024-02-01,940
estocastica,2024-03-01,1198
estocastica,2024-04-01,1100
estocastica,2024-05-01,1159
estocastica,2024-06-01,1023
estocastica,2024-07-01,1080
estocastica,2024-08-01,996
estocastica,2024-09-01,982
estocastica,2024-10-01,1067
estocastica,2024-11-01,1077
estocastica,2024-12-01,838
estocastica,2025-01-01,896
estocastica,2025-02-01,816
estocastica,2025-03-01,761
estocastica,2025-04-01,675
estocastica,2025-05-01,560
estocastica,2025-06-01,600
estocastica,2025-07-01,598
galves,2015-07-01,59
galves,2015-08-01,47
galves,2015-09-01,57
galves,2015-10-01,77
galves,2015-11-01,58
galves,2015-12-01,58
galves,2016-01-01,62
galves,2016-02-01,42
galves,2016-03-01,60
galves,2016-04-01,71
galves,2016-05-01,114
galves,2016-06-01,102
galves,2016-07-01,73
galves,2016-08-01,89
galves,2016-09-01,56
galves,2016-10-01,254
galves,2016-11-01,154
galves,2016-12-01,64
